gene_symbol	ensembl_id	chrom	gene_start	gene_end	tier	mechanism	n_dis_card	n_dis_kid	n_dis_ckd	pLI	LOEUF
LDLRAP1	ENSG00000157978	1	25543606	25568886	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2791e-08	1.083
ARID1A	ENSG00000117713	1	26696015	26782104	3 - CHD + renal anomaly, single-disease	Chromatin / histone modifier	2	1	0	1.0	0.141
PIGV	ENSG00000060642	1	26787950	26800659	3 - CHD + renal anomaly, single-disease	Other	1	2	0	1.771e-06	0.902
DPH2	ENSG00000132768	1	43970010	43973369	3 - CHD + renal anomaly, single-disease	Other	2	1	0	7.5361e-07	0.914
MMACHC	ENSG00000132763	1	45500300	45513382	1 - CHD + renal anomaly + documented CKD	Other	1	1	2	0.00018448	1.162
STIL	ENSG00000123473	1	47250139	47314147	3 - CHD + renal anomaly, single-disease	Other	4	1	0	0.0050023	0.575
CPT2	ENSG00000157184	1	53196824	53214197	1 - CHD + renal anomaly + documented CKD	Other	4	3	4	1.9677e-09	1.038
PCSK9	ENSG00000169174	1	55039548	55064852	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.1172e-20	1.25
PGM1	ENSG00000079739	1	63593411	63660245	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.9806e-17	1.189
CACHD1	ENSG00000158966	1	64470129	64693053	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.3473e-06	0.633
IL23R	ENSG00000162594	1	67166454	67259979	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0015618	0.739
WLS	ENSG00000116729	1	68125360	68232523	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.995	0.475
LRRC7	ENSG00000033122	1	69567922	70144364	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.203
PRKACB	ENSG00000142875	1	84144271	84238498	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.97102	0.513
RPL5	ENSG00000122406	1	92832040	92841924	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	1.0	0.096
PTPN22	ENSG00000134242	1	113813811	113871712	1 - CHD + renal anomaly + documented CKD	Other	2	2	2		
NOTCH2	ENSG00000134250	1	119911553	120069662	1 - CHD + renal anomaly + documented CKD	NOTCH signalling	3	3	1	1.0	0.151
PEX11B	ENSG00000131779	1	145911350	145918717	3 - CHD + renal anomaly, single-disease	Peroxisomal	2	1	0	0.00040379	1.077
SF3B4	ENSG00000143368	1	149923317	149927803	3 - CHD + renal anomaly, single-disease	Other	1	3	0	0.99997	0.259
ZNF687	ENSG00000143373	1	151282299	151292176	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.293
POGZ	ENSG00000143442	1	151402724	151459494	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.198
RPS27	ENSG00000177954	1	153990762	153992155	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.93176	0.52
YY1AP1	ENSG00000163374	1	155659454	155688774	3 - CHD + renal anomaly, single-disease	Other	2	1	0	4.1712e-15	1.319
RIT1	ENSG00000143622	1	155897808	155911349	3 - CHD + renal anomaly, single-disease	RAS-MAPK (RASopathy)	2	1	0	0.96123	0.523
LMNA	ENSG00000160789	1	156114711	156140081	3 - CHD + renal anomaly, single-disease	Other	17	1	0	0.99995	0.412
FCGR2A	ENSG00000143226	1	161505457	161519829	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.00023441	0.922
FCGR2B	ENSG00000072694	1	161663143	161678654	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.0017783	0.995
PBX1	ENSG00000185630	1	164559184	164851831	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	1.0	0.212
TMCO1	ENSG00000143183	1	165726795	165768868	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.8145e-07	1.404
CACNA1E	ENSG00000198216	1	181483517	181808084	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.221
LAMC2	ENSG00000058085	1	183186264	183245127	3 - CHD + renal anomaly, single-disease	ECM / basement membrane	1	1	0	1.5550000000000002e-20	0.797
DDX59	ENSG00000118197	1	200644037	200669907	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	2.7973e-08	0.864
UBE2T	ENSG00000077152	1	202331657	202341936	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.082991	0.838
IL10	ENSG00000136634	1	206767602	206772494	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.48464	0.711
KCNH1	ENSG00000143473	1	210678314	211134148	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.81678	0.526
FLVCR1	ENSG00000162769	1	212858275	212899363	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.6916e-07	1.013
RAB3GAP2	ENSG00000118873	1	220148293	220272453	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00071117	0.535
DISP1	ENSG00000154309	1	222815039	223005995	3 - CHD + renal anomaly, single-disease	Other	5	1	0	1.3426e-07	1.028
CHRM3	ENSG00000133019	1	239386568	239915450	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.99943	0.42
FH	ENSG00000091483	1	241497603	241519755	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.26752	0.599
SDCCAG8	ENSG00000054282	1	243256041	243500091	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	4	3	4.0107e-13	0.843
AKT3	ENSG00000117020	1	243499724	243850243	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99015	0.482
HNRNPU	ENSG00000153187	1	244850297	244864543	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.111
GATA3	ENSG00000107485	10	8054688	8075198	1 - CHD + renal anomaly + documented CKD	Developmental TF (CAKUT/CHD syndromes)	1	2	2	0.99953	0.376
WAC	ENSG00000095787	10	28533118	28623112	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.248
ERCC6	ENSG00000225830	10	49454470	49539121	1 - CHD + renal anomaly + documented CKD	Other	1	1	3	1.2087e-23	0.803
BICC1	ENSG00000122870	10	58512872	58831435	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	0.29986	0.541
JMJD1C	ENSG00000171988	10	63167225	63465977	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.157
DNA2	ENSG00000138346	10	68414064	68471973	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.8618e-27	1.115
NODAL	ENSG00000156574	10	70431936	70441681	2 - CHD + renal anomaly, multi-disease	Other	6	2	0	0.16392	0.854
SLC29A3	ENSG00000198246	10	71319259	71363385	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.00011015	0.933
FAM149B1	ENSG00000138286	10	73168119	73244504	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.3985e-10	0.98
SEC24C	ENSG00000176986	10	73744372	73772161	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.275
KAT6B	ENSG00000156650	10	74826600	75032624	2 - CHD + renal anomaly, multi-disease	Chromatin / histone modifier	4	2	0	1.0	0.098
DLG5	ENSG00000151208	10	77790791	77926755	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.333
POLR3A	ENSG00000148606	10	77975149	78029515	3 - CHD + renal anomaly, single-disease	Other	2	1	0	6.179699999999999e-22	0.836
RPS24	ENSG00000138326	10	78033863	78040697	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99945	0.182
FAS	ENSG00000026103	10	88990798	89017059	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	0.99961	0.372
ALDH18A1	ENSG00000059573	10	95605941	95656711	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.00013089	0.617
TCTN3	ENSG00000119977	10	95663401	95693927	2 - CHD + renal anomaly, multi-disease	Other	4	4	0	1.3321e-13	0.938
CHUK	ENSG00000213341	10	100188300	100229596	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.3913	0.61
FGF8	ENSG00000107831	10	101770109	101776114	2 - CHD + renal anomaly, multi-disease	Other	5	2	0	0.060739	0.765
SUFU	ENSG00000107882	10	102503972	102633535	3 - CHD + renal anomaly, single-disease	Other	4	1	0	1.0	0.214
TRIM8	ENSG00000171206	10	102644479	102658318	3 - CHD + renal anomaly, single-disease	Other	1	2	0	1.0	0.291
ARL3	ENSG00000138175	10	102673731	102714397	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.93	0.557
SMC3	ENSG00000108055	10	110567695	110606048	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	1.0	0.132
BBIP1	ENSG00000214413	10	110898730	110919180	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	2	0.073605	1.693
SHOC2	ENSG00000108061	10	110919604	111013665	3 - CHD + renal anomaly, single-disease	RAS-MAPK (RASopathy)	2	1	0	1.0	0.201
FGFR2	ENSG00000066468	10	121478332	121598444	2 - CHD + renal anomaly, multi-disease	Other	4	5	0	1.0	0.278
BUB3	ENSG00000154473	10	123154402	123170467	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00065367	0.77
EBF3	ENSG00000108001	10	129835233	129964274	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0	0.353
HRAS	ENSG00000174775	11	532242	535576	1 - CHD + renal anomaly + documented CKD	RAS-MAPK (RASopathy)	2	2	1	0.017283	0.893
PNPLA2	ENSG00000177666	11	818914	825573	3 - CHD + renal anomaly, single-disease	Other	3	1	0	2.7218e-09	1.221
IGF2	ENSG00000167244	11	2129117	2139389	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.96	0.496
INS	ENSG00000254647	11	2159779	2161209	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.019816	1.195
KCNQ1	ENSG00000053918	11	2445008	2849105	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0954e-12	0.915
CDKN1C	ENSG00000129757	11	2883218	2885775	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.00043741	1.943
PGAP2	ENSG00000148985	11	3808560	3826371	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00010679	0.871
DCHS1	ENSG00000166341	11	6621330	6655809	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.33407	0.491
RRAS2	ENSG00000133818	11	14277922	14359183	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.031055	1.246
KCNJ11	ENSG00000187486	11	17385248	17388659	3 - CHD + renal anomaly, single-disease	Other	3	1	0	0.0015654	1.074
ABCC8	ENSG00000006071	11	17392885	17476845	3 - CHD + renal anomaly, single-disease	Other	3	1	0	9.5344e-33	0.829
SAA1	ENSG00000173432	11	18266264	18269967	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.02592	1.293
FANCF	ENSG00000183161	11	22622533	22625823	1 - CHD + renal anomaly + documented CKD	Other	2	2	1		
WT1	ENSG00000184937	11	32387775	32435539	1 - CHD + renal anomaly + documented CKD	Developmental TF (CAKUT/CHD syndromes)	2	8	6	1.0	0.253
PEX16	ENSG00000121680	11	45909663	45917877	3 - CHD + renal anomaly, single-disease	Peroxisomal	3	1	0	9.9638e-10	0.957
TMEM216	ENSG00000187049	11	61392587	61398846	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	2	0.00011783	1.453
MYRF	ENSG00000124920	11	61752636	61788518	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.215
GANAB	ENSG00000089597	11	62624829	62646613	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	1	2	1	1.0	0.391
BSCL2	ENSG00000168000	11	62690275	62707424	3 - CHD + renal anomaly, single-disease	Other	1	1	0	7.4505e-10	0.869
MEN1	ENSG00000133895	11	64803516	64810551	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.0	0.206
DPF2	ENSG00000133884	11	65333852	65354262	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0	0.287
KAT5	ENSG00000172977	11	65712252	65719604	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.027252	0.594
FIBP	ENSG00000172500	11	65883740	65888471	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.9227e-07	1.009
SF3B2	ENSG00000087365	11	66052364	66069308	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.252
PACS1	ENSG00000175115	11	66070272	66244744	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0	0.3
BBS1	ENSG00000174483	11	66510635	66533598	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	1	1	5.6877e-17	1.003
AIP	ENSG00000110711	11	67483026	67491103	3 - CHD + renal anomaly, single-disease	Other	3	1	0	0.28135	0.626
LRP5	ENSG00000162337	11	68312591	68449275	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.9406	0.482
CCND1	ENSG00000110092	11	69641156	69654474	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.7209	0.609
CLPB	ENSG00000162129	11	72285495	72434531	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00035321	0.643
C2CD3	ENSG00000168014	11	74012718	74171002	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.8824e-14	0.637
AMOTL1	ENSG00000166025	11	94768356	94876748	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0029055	0.581
CEP57	ENSG00000166037	11	95790498	95832693	3 - CHD + renal anomaly, single-disease	Other	2	1	0	6.8356e-06	0.74
MMP1	ENSG00000196611	11	102789919	102798160	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.3919e-15	1.291
ALKBH8	ENSG00000137760	11	107502727	107565735	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.7075e-05	0.797
ALG9	ENSG00000086848	11	111782195	111871581	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	4	4	1	1.3976e-12	0.853
SDHD	ENSG00000204370	11	112086873	112095794	2 - CHD + renal anomaly, multi-disease	Mitochondrial / OXPHOS	2	2	0	0.90513	0.581
APOA1	ENSG00000118137	11	116835751	116837622	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	5.3313e-07	1.168
KMT2A	ENSG00000118058	11	118436492	118526832	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.065
DDX6	ENSG00000110367	11	118747763	118791164	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.128
CBL	ENSG00000110395	11	119206339	119308149	3 - CHD + renal anomaly, single-disease	RAS-MAPK (RASopathy)	2	1	0	0.00033116	0.622
TMEM218	ENSG00000150433	11	125094389	125111626	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.12399	1.214
KCNJ5	ENSG00000120457	11	128891356	128921163	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.0081482	0.912
TULP3	ENSG00000078246	12	2890891	2941138	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2493e-09	1.059
CCND2	ENSG00000118971	12	4273762	4305353	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99932	0.385
KCNA1	ENSG00000111262	12	4909905	4918256	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0001067	0.935
ATN1	ENSG00000111676	12	6927959	6942321	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.352
GDF3	ENSG00000184344	12	7689784	7695775	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0010543	1.513
KLRC4	ENSG00000183542	12	10407384	10409757	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.10838	0.91
WBP11	ENSG00000084463	12	14784582	14803478	3 - CHD + renal anomaly, single-disease	Ciliopathy / nephronophthisis	1	1	0	1.0	0.321
KRAS	ENSG00000133703	12	25205246	25250929	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	8	4	0	0.99914	0.264
IPO8	ENSG00000133704	12	30628988	30695869	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.15221	0.575
ARID2	ENSG00000189079	12	45729706	45908037	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0	0.224
KMT2D	ENSG00000167548	12	49018978	49060794	1 - CHD + renal anomaly + documented CKD	Chromatin / histone modifier	3	2	1	1.0	0.141
SMARCD1	ENSG00000066117	12	50085342	50100707	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.339
COX14	ENSG00000178449	12	50112236	50120453	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	1	1	0	0.21849	1.203
RPS26	ENSG00000197728	12	56041918	56044697	2 - CHD + renal anomaly, multi-disease	Ribosomopathy	2	2	0	0.99588	0.32
ERBB3	ENSG00000065361	12	56080165	56103505	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.6217e-16	0.695
SMARCC2	ENSG00000139613	12	56162359	56189483	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.167
PAN2	ENSG00000135473	12	56316936	56334000	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.6351e-06	0.594
PRIM1	ENSG00000198056	12	56731580	56752323	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00079834	0.824
GLI1	ENSG00000111087	12	57459785	57472268	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.318e-07	0.704
LEMD3	ENSG00000174106	12	65169583	65248355	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.40017	0.584
IFNG	ENSG00000111537	12	68154768	68159740	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	0.10704	1.095
RAP1B	ENSG00000127314	12	68610899	68671901	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99938	0.185
NUP107	ENSG00000111581	12	68686978	68745809	1 - CHD + renal anomaly + documented CKD	Other	2	3	3	2.8313e-09	0.833
BBS10	ENSG00000179941	12	76344474	76348415	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	2	1.219e-05	1.418
CEP290	ENSG00000198707	12	88049016	88142088	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	5	6	1.2493e-48	1.094
GNPTAB	ENSG00000111670	12	101745499	101830959	3 - CHD + renal anomaly, single-disease	Other	4	1	0	1.5001e-13	0.8
PAH	ENSG00000171759	12	102836889	102917244	3 - CHD + renal anomaly, single-disease	Other	1	1	0	9.094700000000001e-20	1.265
TCTN1	ENSG00000204852	12	110614129	110649430	3 - CHD + renal anomaly, single-disease	Other	2	1	0	8.6642e-18	1.133
PTPN11	ENSG00000179295	12	112418947	112509918	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	4	3	0	1.0	0.156
TBX3	ENSG00000135111	12	114670255	114684175	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99465	0.468
WSB2	ENSG00000176871	12	118032687	118061179	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99998	0.363
KDM2B	ENSG00000089094	12	121429096	121581023	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.266
TCTN2	ENSG00000168778	12	123671113	123708399	2 - CHD + renal anomaly, multi-disease	Other	3	2	0	6.054e-18	0.992
POLE	ENSG00000177084	12	132623762	132687342	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.7396e-38	0.75
ZMYM2	ENSG00000121741	13	19958727	20089115	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.96384	0.482
PDX1	ENSG00000139515	13	27920000	27926313	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0033698	1.642
B3GLCT	ENSG00000187676	13	31199975	31332276	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	3.9184e-09	1.109
BRCA2	ENSG00000139618	13	32315508	32400268	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	6.5274e-44	0.803
ALG5	ENSG00000120697	13	36949738	36999340	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	0.015945	0.823
WBP4	ENSG00000120688	13	41061509	41084006	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.4544e-09	0.971
LACC1	ENSG00000179630	13	43879904	43893932	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.3918e-07	1.158
UBAC2	ENSG00000134882	13	99200854	99386504	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00013582	0.859
ZIC2	ENSG00000043355	13	99981784	99986765	3 - CHD + renal anomaly, single-disease	Other	5	1	0	0.96497	0.52
LIG4	ENSG00000174405	13	108207442	108215536	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00015627	1.043
RPGRIP1	ENSG00000092200	14	21280083	21351301	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2162e-20	0.918
SLC7A7	ENSG00000155465	14	22773222	22815435	1 - CHD + renal anomaly + documented CKD	Other	1	1	2	1.3733e-10	1.007
SRP54	ENSG00000100883	14	34982992	35029567	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99999	0.304
PPP2R3C	ENSG00000092020	14	35085472	35121990	3 - CHD + renal anomaly, single-disease	Other	1	2	0	5.6221e-07	0.955
TOGARAM1	ENSG00000198718	14	44962190	45074431	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.9374e-15	0.724
FANCM	ENSG00000187790	14	45135930	45200890	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	2.395e-13	0.754
RPS29	ENSG00000213741	14	49583577	49586380	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.98428	0.308
SOS2	ENSG00000100485	14	50117130	50231578	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99989	0.415
BMP4	ENSG00000125378	14	53949736	53956825	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99998	0.258
KIAA0586	ENSG00000100578	14	58427719	58551297	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	8.5316e-14	0.968
DACT1	ENSG00000165617	14	58637962	58648321	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.16566	0.703
JKAMP	ENSG00000050130	14	59484517	59505410	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.66184	0.677
MAX	ENSG00000125952	14	65075127	65102517	3 - CHD + renal anomaly, single-disease	Other	1	3	0	0.99819	0.288
FUT8	ENSG00000033170	14	65412730	65744121	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0026169	0.667
POMT2	ENSG00000009830	14	77274956	77320883	3 - CHD + renal anomaly, single-disease	Other	3	1	0	3.911e-20	0.944
TTC8	ENSG00000165533	14	88824651	88877988	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	2	1	5.2419e-08	0.8
PSMC1	ENSG00000100764	14	90256553	90275429	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.258
FBLN5	ENSG00000140092	14	91869411	91947694	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.25042	0.58
YY1	ENSG00000100811	14	100239144	100282788	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.2
DLK1	ENSG00000185559	14	100726892	100738224	3 - CHD + renal anomaly, single-disease	Other	3	1	0	0.9948	0.461
RTL1	ENSG00000254656	14	100879753	100903722	3 - CHD + renal anomaly, single-disease	Other	3	1	0	0.31636	1.869
CDC42BPB	ENSG00000198752	14	102932380	103057549	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.235
PLD4	ENSG00000166428	14	104924879	104933236	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	2.0155e-24	1.583
BRF1	ENSG00000185024	14	105209286	105301001	3 - CHD + renal anomaly, single-disease	Other	2	1	0	3.1018e-15	0.921
SPRED1	ENSG00000166068	15	38252836	38357249	3 - CHD + renal anomaly, single-disease	RAS-MAPK (RASopathy)	1	1	0	0.98383	0.496
BUB1B	ENSG00000156970	15	40161069	40221123	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	2.5766e-14	0.707
CHST14	ENSG00000169105	15	40470984	40473158	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.0044188	0.917
RAD51	ENSG00000051180	15	40695174	40732340	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.99531	0.467
DLL4	ENSG00000128917	15	40929340	40939073	3 - CHD + renal anomaly, single-disease	NOTCH signalling	2	1	0	1.0	0.197
B2M	ENSG00000166710	15	44711517	44718145	1 - CHD + renal anomaly + documented CKD	Other	2	1	1	0.96577	0.501
FBN1	ENSG00000166147	15	48408313	48645709	3 - CHD + renal anomaly, single-disease	ECM / basement membrane	12	1	0	1.0	0.105
DMXL2	ENSG00000104093	15	51447791	51622771	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.36
RFX7	ENSG00000181827	15	56087280	56243879	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.3
