analysis	method	n_instruments	estimate	se	ci_low	ci_high	p_value
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs6828404	17	-0.0008870209995631677	0.001089226400369934	nan	nan	nan
eGFR -> CHD (negative control)	IVW	469	0.23360684432154394	0.45417402833821224	-0.6565742512213519	1.12378793986444	0.6070035656144401
eGFR -> CHD (negative control)	CochranQ	469	548.6005443934777	468.0	nan	nan	0.005895307364355448
eGFR -> CHD (negative control)	WeightedMedian	469	-0.049976393442622946	0.7430153513666888	-1.506286482121333	1.4063336952360872	0.9463734548698431
eGFR -> CHD (negative control)	EggerSlope	469	0.6424066621288023	1.0228922792174049	-1.3624622051373114	2.647275529394916	0.529984528275717
eGFR -> CHD (negative control)	EggerIntercept	469	-0.0013183150711733001	0.0029550556744597106	-0.007110224193114333	0.004473594050767732	0.655509189531746
eGFR -> CHD (negative control)	SteigerExposureR2	469	0.0360128151767625	nan	nan	nan	nan
eGFR -> CHD (negative control)	SteigerOutcomeR2	469	0.04688804383748699	nan	nan	nan	nan
eGFR -> CHD (negative control)	SteigerInstrumentsFavouringExposure	469	276.0	nan	nan	nan	nan
eGFR -> CHD (negative control)	MinDetectableEffect	469	1.2716872793469942	nan	nan	nan	nan
