GENE	SYMBOL	CHR	START	STOP	NSNPS	N	ZSTAT	P
27237	ARHGEF16	1	3371147	3397677	81	955570	-0.72608	0.76611
1953	MEGF6	1	3404506	3528059	455	881937	-0.90236	0.81657
127262	TPRG1L	1	3541556	3546695	12	941723	0.18908	0.42502
49856	WRAP73	1	3547331	3566671	35	906484	0.25299	0.40014
7161	TP73	1	3569129	3652765	263	897590	0.24505	0.40321
148870	CCDC27	1	3668965	3688209	66	929209	1.2465	0.1063
388588	SMIM1	1	3689352	3692546	11	961616	2.0423	0.020563
57470	LRRC47	1	3696784	3713068	74	973663	2.7925	0.002615
9731	CEP104	1	3728645	3773797	291	974990	3.9467	3.9612e-05
1677	DFFB	1	3773845	3801993	152	923520	1.8601	0.031435
339448	C1orf174	1	3805697	3816857	38	948249	1.6385	0.050657
55966	AJAP1	1	4715105	4843851	693	955815	-1.832	0.96652
261734	NPHP4	1	5922870	6052618	434	963210	-0.54455	0.70697
8514	KCNAB2	1	6052358	6161253	319	915583	-1.2202	0.88881
26038	CHD5	1	6161847	6240194	271	929805	0.52525	0.2997
6146	RPL22	1	6245080	6259679	32	916344	2.643	0.004109
388591	RNF207	1	6266189	6281359	36	914955	0.88376	0.18841
23463	ICMT	1	6281253	6296044	27	951253	1.3902	0.082231
390992	HES3	1	6304252	6305638	5	922643	0.59112	0.27722
387509	GPR153	1	6307406	6321035	37	941997	1.2758	0.10101
11332	ACOT7	1	6324332	6453826	472	932507	1.7755	0.037908
54626	HES2	1	6475292	6484724	27	962736	2.3564	0.0092274
83715	ESPN	1	6484836	6521004	104	937262	1.8539	0.031879
8718	TNFRSF25	1	6520787	6527432	20	912607	0.39422	0.34671
57449	PLEKHG5	1	6526152	6580121	167	914058	-0.60593	0.72772
79707	NOL9	1	6581407	6614658	131	959739	-1.3897	0.91769
80835	TAS1R1	1	6614987	6639817	64	926789	-0.062797	0.52504
3104	ZBTB48	1	6640051	6649340	14	946776	-1.1509	0.87511
9903	KLHL21	1	6650784	6662958	40	949725	-0.94213	0.82694
148479	PHF13	1	6673756	6684093	20	988298	-0.070362	0.52805
90326	THAP3	1	6684925	6695646	34	960684	-1.6245	0.94787
55735	DNAJC11	1	6694228	6761966	171	949455	-1.362	0.91341
23261	CAMTA1	1	6845384	7829766	3079	950444	-0.072341	0.52883
9341	VAMP3	1	7831329	7841492	37	980478	2.0378	0.020786
8863	PER3	1	7844413	7905241	253	972644	2.9102	0.0018062
10911	UTS2	1	7907672	7913551	27	958451	2.9135	0.001787
3604	TNFRSF9	1	7975931	8003225	62	939508	1.1168	0.13204
11315	PARK7	1	8021714	8045342	69	932635	2.7419	0.0030543
54206	ERRFI1	1	8071779	8086393	26	965295	3.1461	0.00082729
50651	SLC45A1	1	8378171	8404227	86	951342	1.9428	0.026022
473	RERE	1	8412464	8877699	796	953679	3.6719	0.00012036
2023	ENO1	1	8921059	8939151	28	959884	3.0231	0.0012509
765	CA6	1	9005893	9035151	140	938832	0.6008	0.27399
155184	SLC2A7	1	9063359	9086404	80	906736	-1.0502	0.85318
6518	SLC2A5	1	9097005	9131763	121	932086	-0.24873	0.59822
80045	GPR157	1	9163472	9189229	72	943701	0.19027	0.42455
9563	H6PD	1	9294822	9331396	111	946376	1.3377	0.090492
80176	SPSB1	1	9335202	9429591	459	933995	2.3255	0.010023
84275	SLC25A33	1	9599528	9642831	62	928462	0.9451	0.1723
199953	TMEM201	1	9648932	9674935	43	931424	0.070468	0.47191
5293	PIK3CD	1	9711789	9789172	155	927623	0.998	0.15914
22883	CLSTN1	1	9789079	9884550	133	934643	1.1603	0.12297
56998	CTNNBIP1	1	9908334	9970316	85	916719	0.028638	0.48858
84328	LZIC	1	9982168	10003460	50	938606	0.89921	0.18427
64802	NMNAT1	1	10003486	10045556	91	939250	1.0506	0.14673
116362	RBP7	1	10057255	10076078	44	955158	1.443	0.074506
10277	UBE4B	1	10093041	10241297	374	942252	1.5266	0.063431
23095	KIF1B	1	10270606	10441664	561	970976	1.3643	0.086233
5226	PGD	1	10458884	10480565	53	958875	1.7815	0.037413
378708	CENPS	1	10489944	10510239	59	947209	3.3768	0.00036671
100526739	CENPS-CORT	1	10490159	10512060	61	948780	3.2796	0.00051969
1325	CORT	1	10509776	10512060	5	954890	1.8661	0.031016
1676	DFFA	1	10520588	10532613	21	934862	3.1895	0.00071247
5195	PEX14	1	10535003	10690815	423	951609	2.9516	0.0015809
54897	CASZ1	1	10696661	10856733	416	916662	7.8745	1.7102e-15
148345	CIROZ	1	11006530	11042094	112	943626	-0.42892	0.66601
23435	TARDBP	1	11072462	11085549	21	941994	-0.47779	0.6836
10747	MASP2	1	11086580	11107296	53	948648	-0.76088	0.77663
6723	SRM	1	11114649	11120091	7	962003	-0.17668	0.57012
5394	EXOSC10	1	11126675	11159961	87	951979	0.21015	0.41678
2475	MTOR	1	11166588	11322614	305	971319	0.54431	0.29312
10218	ANGPTL7	1	11249346	11256038	12	972315	0.50263	0.30761
29914	UBIAD1	1	11333255	11348491	21	930880	-1.1899	0.88296
57540	DISP3	1	11539295	11597640	162	960150	-0.55229	0.70962
26232	FBXO2	1	11707924	11714888	19	883111	-1.4546	0.92711
93611	FBXO44	1	11714432	11723384	23	886268	0.00083945	0.49967
26270	FBXO6	1	11724150	11734411	30	900770	-0.79179	0.78576
10459	MAD2L2	1	11734537	11751678	68	900786	-0.79383	0.78635
374946	DRAXIN	1	11751781	11780336	76	919126	0.90677	0.18226
57085	AGTRAP	1	11796142	11810828	38	926071	1.1359	0.128
284498	C1orf167	1	11823827	11849642	148	973916	0.47722	0.3166
4524	MTHFR	1	11845787	11866160	79	977581	1.8192	0.034437
1185	CLCN6	1	11866153	11903201	199	977226	1.6257	0.052003
4878	NPPA	1	11905766	11907840	16	921207	1.4918	0.067877
4879	NPPB	1	11917521	11918992	1	928897	0.35899	0.3598
90231	KIAA2013	1	11979645	11986485	24	958598	2.2391	0.012574
5351	PLOD1	1	11994724	12035599	129	961248	-1.096	0.86346
9927	MFN2	1	12040238	12073572	92	949090	2.5123	0.0059977
60672	MIIP	1	12079299	12092106	26	922130	0.80034	0.21176
943	TNFRSF8	1	12123434	12204264	210	928901	0.17149	0.43192
7133	TNFRSF1B	1	12227044	12269279	129	942586	-0.94578	0.82787
55187	VPS13D	1	12290101	12572099	521	935638	-1.5318	0.93721
9249	DHRS3	1	12627939	12677820	170	938372	3.0023	0.0013397
343066	AADACL4	1	12704566	12727097	51	914417	0.12873	0.44879
126767	AADACL3	1	12776118	12788726	41	949547	-1.6486	0.95038
93190	CFAP107	1	12806163	12821102	36	960942	-1.5414	0.93839
390999	PRAMEF12	1	12834984	12838049	7	940387	-0.11303	0.545
65121	PRAMEF1	1	12851546	12856777	8	846755	-1.798	0.96391
440560	PRAMEF11	1	12884468	12891264	6	765625	0.38772	0.34911
65122	PRAMEF2	1	12916941	12921764	6	813408	-1.2805	0.89981
440563	HNRNPCL2	1	13182960	13184326	2	822646	-0.30071	0.61818
126755	LRRC38	1	13801445	13840242	158	912664	0.38963	0.34841
10630	PDPN	1	13910252	13944452	130	927454	0.86866	0.19252
7799	PRDM2	1	14026714	14151574	407	958187	0.6613	0.25421
23254	KAZN	1	14219646	15444544	4944	946125	-0.24822	0.59802
55092	TMEM51	1	15479028	15546974	360	971950	4.0929	2.1296e-05
727684	TMEM51-AS2	1	15490692	15498120	29	978934	3.8887	5.0396e-05
114827	FHAD1	1	15573730	15724767	524	935874	0.32349	0.37316
79180	EFHD2	1	15736391	15756839	66	918955	0.8763	0.19043
11330	CTRC	1	15764938	15773153	22	931836	3.4063	0.0003292
63036	CELA2A	1	15783223	15798586	65	945990	3.5391	0.00020072
51032	CELA2B	1	15802596	15817895	48	965948	7.6315	1.1602e-14
842	CASP9	1	15817896	15851407	136	968910	7.7059	6.4948e-15
23341	DNAJC16	1	15853343	15898228	122	962421	7.2249	2.5069e-13
79814	AGMAT	1	15898194	15911605	62	938703	6.557	2.7447e-11
84301	DDI2	1	15943953	15995539	124	961121	4.7643	9.4763e-07
6248		1	15986364	15988217	3	997822	5.0902	1.7883e-07
23207	PLEKHM2	1	16010632	16061264	163	953941	4.7189	1.1853e-06
284723	SLC25A34	1	16062721	16067884	8	928913	4.1508	1.6565e-05
388595	TMEM82	1	16068987	16074292	18	936853	2.7424	0.0030495
54751	FBLIM1	1	16083107	16113089	78	938296	3.0068	0.00132
440567	UQCRHL	1	16133657	16134194	5	973048	1.7633	0.038929
23013	SPEN	1	16174359	16266951	185	957781	4.2972	8.6474e-06
7709	ZBTB17	1	16268364	16302627	61	965619	3.8582	5.7105e-05
101928566	TBC1D3P6	1	16302626	16323701	81	969820	4.2464	1.0864e-05
149563	SRARP	1	16330731	16333184	12	975891	3.2204	0.00064002
27129	HSPB7	1	16340523	16346084	44	994497	2.9424	0.0016282
1187	CLCNKA	1	16348486	16360548	64	962479	3.6188	0.000148
1188	CLCNKB	1	16370231	16383821	120	923616	3.1572	0.00079638
348487	FAM131C	1	16384264	16400127	63	929220	1.4694	0.070857
1969	EPHA2	1	16450832	16482582	60	936188	1.882	0.029919
128272	ARHGEF19	1	16524599	16539104	60	953907	2.9002	0.0018648
101927546	ANO7L1	1	16551343	16553528	7	967303	6.1094	5e-10
79363	CPLANE2	1	16558182	16563659	15	960179	5.9015	1.8013e-09
54455	FBXO42	1	16573339	16678965	237	960371	6.266	1.8518e-10
26099	SZRD1	1	16693525	16724643	64	954628	4.1008	2.0589e-05
374955	SPATA21	1	16722101	16763919	129	935326	4.6237	1.8846e-06
55707	NECAP2	1	16767167	16786585	49	946431	1.8464	0.03242
9696	CROCC	1	17248445	17299474	93	907201	-0.2206	0.5873
4237	MFAP2	1	17300997	17308081	20	921709	0.64335	0.26
23400	ATP13A2	1	17312453	17338467	58	953105	0.11691	0.45347
6390	SDHB	1	17345217	17380665	123	979414	-0.083429	0.53324
11240	PADI2	1	17393256	17445948	280	950247	0.43689	0.3311
29943	PADI1	1	17531621	17572501	169	920665	-1.3936	0.91828
51702	PADI3	1	17575593	17610728	190	964784	-0.70161	0.75854
23569	PADI4	1	17634690	17690495	304	951842	-2.6036	0.99539
353238	PADI6	1	17698741	17728195	175	948460	-0.12131	0.54828
55920	RCC2	1	17733251	17766250	84	942106	-2.0064	0.97759
55160	ARHGEF10L	1	17846693	18024370	438	931664	1.348	0.088825
81569	ACTL8	1	18081808	18153558	218	948573	0.1052	0.45811
84966	IGSF21	1	18434240	18704977	1036	943110	0.34173	0.36628
127707	KLHDC7A	1	18807424	18812540	28	991440	7.683	7.7716e-15
5081	PAX7	1	18957500	19075360	365	927866	-0.17493	0.56943
80834	TAS1R2	1	19166093	19186155	122	945595	0.37009	0.35566
8659	ALDH4A1	1	19197924	19229293	163	916460	1.1527	0.12451
126917	IFFO2	1	19230774	19282826	219	925320	1.6776	0.046712
23352	UBR4	1	19401000	19536812	326	960807	1.2501	0.10562
23065	EMC1	1	19542158	19578053	125	964357	1.3261	0.092409
51154	MRTO4	1	19578075	19586622	58	974387	1.0318	0.15108
22977	AKR7A3	1	19609057	19615280	26	955492	1.4918	0.067882
8574	AKR7A2	1	19629202	19638640	29	961645	0.93475	0.17496
54896	SLC66A1	1	19638740	19658925	107	956213	1.3883	0.08252
832	CAPZB	1	19665267	19812066	603	966389	2.0154	0.02193
440574	MICOS10	1	19923471	19956315	81	960489	0.17274	0.43143
100532736	MICOS10-NBL1	1	19923471	19984949	187	953300	0.87146	0.19175
4681	NBL1	1	19969723	19984949	58	940463	1.2411	0.10729
3362	HTR6	1	19991780	20006055	46	949244	-0.41814	0.66208
255104	TMCO4	1	20008706	20126424	412	948319	0.10745	0.45722
54546	RNF186	1	20140522	20141771	6	910806	2.2232	0.013102
23252	OTUD3	1	20208356	20239438	86	965239	-0.13704	0.5545
30814	PLA2G2E	1	20246800	20250110	20	966891	0.52432	0.30003
5320	PLA2G2A	1	20301924	20306932	18	941811	1.3985	0.080988
5322	PLA2G5	1	20386157	20418394	128	971289	-1.9289	0.97313
26279	PLA2G2D	1	20439143	20446059	24	929206	-1.0168	0.84538
64600	PLA2G2F	1	20465823	20476879	27	906025	-1.2531	0.89492
391013	PLA2G2C	1	20490484	20501687	45	950764	-0.38955	0.65156
127733	UBXN10	1	20512578	20522540	10	943496	-0.45131	0.67412
127731	VWA5B1	1	20617412	20681662	272	965975	0.44323	0.3288
55450	CAMK2N1	1	20808884	20812728	4	987639	0.30595	0.37982
79594	MUL1	1	20825941	20834674	27	964025	-0.69404	0.75617
163933	FAM43B	1	20878932	20881513	3	1003607	0.026254	0.48953
978	CDA	1	20915444	20945401	130	966616	0.91212	0.18085
65018	PINK1	1	20959948	20978004	77	970138	0.41846	0.33781
1650	DDOST	1	20978260	20988037	31	970758	-0.27168	0.60707
57576	KIF17	1	20990475	21044317	223	943968	0.92369	0.17782
400745	SH2D5	1	21046225	21059133	38	973478	2.3499	0.0093894
50809	HP1BP3	1	21069170	21113808	103	955597	-0.018524	0.50739
8672	EIF4G3	1	21132785	21503381	796	953365	0.27371	0.39215
1889	ECE1	1	21543740	21672034	399	955034	2.8431	0.0022342
84224	NBPF3	1	21766583	21811393	157	937734	3.3482	0.00040675
249	ALPL	1	21835475	21904905	320	974873	1.9679	0.024542
5909	RAP1GAP	1	21922708	21996010	287	964435	3.9709	3.5798e-05
84196	USP48	1	22004791	22109688	368	970330	-0.17797	0.57063
401944	LDLRAD2	1	22138758	22151714	44	932844	2.1209	0.016967
3339	HSPG2	1	22148737	22263750	415	949751	1.6621	0.048249
23436	CELA3B	1	22303418	22315847	85	885860	1.0162	0.15476
10136	CELA3A	1	22328149	22339035	40	893975	0.57012	0.2843
998	CDC42	1	22379120	22419439	110	953757	1.1628	0.12245
54361	WNT4	1	22443798	22470474	105	960317	1.4758	0.070001
9923	ZBTB40	1	22778344	22857650	168	944251	-0.34312	0.63424
2046	EPHA8	1	22890004	22930087	164	948701	0.44727	0.32734
712	C1QA	1	22963118	22966175	6	953020	-0.25814	0.60185
714	C1QC	1	22969969	22974603	24	962422	1.2067	0.11378
713	C1QB	1	22979682	22988130	27	965098	1.0237	0.15298
2048	EPHB2	1	23037263	23241823	498	944614	0.64524	0.25938
646262	LACTBL1	1	23279536	23299524	53	948444	6.7572	7.0365e-12
729059	TEX46	1	23337327	23342343	9	960197	5.7715	3.928e-09
23028	KDM1A	1	23345937	23410184	80	953246	6.0199	8.7236e-10
7798	LUZP1	1	23410516	23504301	186	953842	6.7661	6.6132e-12
3352	HTR1D	1	23518388	23521222	5	977251	4.6077	2.0356e-06
10236	HNRNPR	1	23635953	23671143	46	926575	7.297	1.4716e-13
80818	ZNF436	1	23685941	23696357	30	965647	6.1094	5e-10
6920	TCEA3	1	23707555	23751269	133	940873	6.8097	4.8889e-12
55616	ASAP3	1	23755056	23810750	125	953011	3.9882	3.3283e-05
1870	E2F2	1	23832920	23857712	50	961482	4.6029	2.0835e-06
3399	ID3	1	23884421	23886285	9	946771	3.4407	0.00029011
6135	RPL11	1	24018269	24022915	12	922210	0.5473	0.29209
6924	ELOA	1	24069856	24088549	21	925550	0.98379	0.16261
57095	PITHD1	1	24104876	24114722	8	944046	2.9549	0.0015639
11313	LYPLA2	1	24117275	24122029	3	972112	2.9072	0.0018235
2582	GALE	1	24122089	24127294	2	859157	1.0614	0.14426
3155	HMGCL	1	24128367	24165110	49	940047	1.9884	0.023385
2517	FUCA1	1	24171567	24194859	40	942301	3.0551	0.0011249
1269	CNR2	1	24197005	24285549	187	928530	3.031	0.0012186
55629	PNRC2	1	24286301	24289952	5	800191	3.4385	0.00029245
10772	SRSF10	1	24292935	24306953	2	815564	2.9369	0.0016575
127294	MYOM3	1	24382531	24438665	199	956367	2.7894	0.0026407
58985	IL22RA1	1	24446261	24469783	78	954828	1.1204	0.13127
163702	IFNLR1	1	24480647	24513765	137	950514	1.7348	0.04139
57822	GRHL3	1	24645812	24690972	122	942814	0.81385	0.20786
90529	STPG1	1	24683489	24741587	174	964274	-0.47186	0.68149
57185	NIPAL3	1	24742245	24799473	185	960214	-0.26637	0.60502
11123	RCAN3	1	24828841	24863510	109	949441	1.1842	0.11817
400746	NCMAP	1	24882567	24935819	245	955173	-0.32675	0.62807
10250	SRRM1	1	24969594	24999772	37	929239	-1.3151	0.90577
25932	CLIC4	1	25071760	25170815	117	921294	-1.427	0.92321
864	RUNX3	1	25226002	25291648	152	924712	3.0537	0.0011302
25949	SYF2	1	25548767	25559013	3	882891	-0.054852	0.52187
57035	RSRP1	1	25568740	25574010	5	890925	1.4095	0.079349
6007	RHD	1	25598884	25656936	13	856172	1.8574	0.03163
23585	TMEM50A	1	25664789	25688852	21	900464	3.2695	0.00053874
6006	RHCE	1	25687853	25747363	47	905493	3.3658	0.00038163
55219	MACO1	1	25757388	25826700	87	916777	3.6812	0.00011608
26119	LDLRAP1	1	25870071	25895377	58	872044	0.26626	0.39502
57134	MAN1C1	1	25943959	26111258	343	928194	-0.51503	0.69673
57190	SELENON	1	26126667	26144713	44	956737	0.34665	0.36443
56181	MTFR1L	1	26146397	26159433	31	979697	0.62552	0.26582
79000	AUNIP	1	26158414	26185939	66	972628	0.46145	0.32224
164091	PAQR7	1	26187975	26202461	13	919576	1.6943	0.045106
3925	STMN1	1	26210670	26233368	30	950125	1.0231	0.15313
5051	PAFAH2	1	26286258	26326366	93	952881	-0.87154	0.80827
2134	EXTL1	1	26348266	26362955	24	946955	0.81587	0.20729
7780	SLC30A2	1	26364513	26373439	14	986381	1.2034	0.11441
84676	TRIM63	1	26377792	26394142	44	959703	1.0363	0.15003
149420	PDIK1L	1	26437656	26452039	35	958701	1.4163	0.078339
79927	FAM110D	1	26485511	26489119	11	943659	1.5779	0.057294
51042	ZNF593	1	26496388	26497364	4	993439	-0.053272	0.52124
10256	CNKSR1	1	26503981	26516375	31	952977	1.8228	0.034165
378807	CATSPER4	1	26517119	26529033	67	969247	1.3373	0.09057
64793	CEP85	1	26560644	26605529	145	979053	1.0293	0.15167
83442	SH3BGRL3	1	26606213	26608013	5	969337	0.89554	0.18525
91544	UBXN11	1	26608773	26644756	133	976747	1.8931	0.029174
1043	CD52	1	26644411	26647014	12	965793	1.5834	0.056666
55057	CRYBG2	1	26648350	26680621	104	961959	0.93222	0.17561
257101	ZNF683	1	26688125	26701023	59	954186	-0.12167	0.54842
79727	LIN28A	1	26737269	26756219	45	949244	2.6015	0.0046408
79947	DHDDS	1	26758773	26797797	71	946233	3.1898	0.00071197
3151	HMGN2	1	26798902	26803133	9	935535	2.9442	0.001619
6195	RPS6KA1	1	26856249	26901520	113	952864	2.4109	0.0079574
101928728		1	27018623	27022896	8	1000866	7.3767	8.1102e-14
8289	ARID1A	1	27022522	27108601	126	965578	6.8546	3.5759e-12
55650	PIGV	1	27113739	27124894	15	957856	6.5809	2.3384e-11
84243	ZDHHC18	1	27153201	27184092	51	949373	6.1731	3.3482e-10
2810	SFN	1	27189633	27190947	1	997302	3.2492	0.0005786
54707	GPN2	1	27205872	27216869	18	954912	6.4674	4.9857e-11
63906	GPATCH3	1	27216979	27226962	14	949233	5.9462	1.3721e-09
8431	NR0B2	1	27237975	27240567	6	955376	5.3007	5.768e-08
10726	NUDC	1	27248187	27273362	36	949749	6.7777	6.1046e-12
126695	KDF1	1	27276047	27286901	14	973318	6.9881	1.3935e-12
388610	TRNP1	1	27320189	27327377	7	926240	3.3815	0.00036039
115572	TENT5B	1	27331511	27339333	11	951067	2.9768	0.0014563
6548	SLC9A1	1	27425300	27481621	68	933462	2.9949	0.0013727
23038	WDTC1	1	27561007	27635124	100	963673	0.34108	0.36652
84065	TMEM222	1	27648636	27662891	37	948336	-0.66774	0.74785
84958	SYTL1	1	27668483	27680423	33	934308	2.0666	0.019385
9064	MAP3K6	1	27681670	27693558	29	926208	2.673	0.003759
8547	FCN3	1	27695601	27701315	9	927422	4.9301	4.1086e-07
388611	CD164L2	1	27705596	27709823	3	868380	5.2386	8.0918e-08
2827	GPR3	1	27719148	27722318	2	927839	2.3276	0.0099679
10163	WASF2	1	27730734	27816678	129	931881	5.6402	8.4943e-09
27245	AHDC1	1	27860756	27930463	64	914897	3.176	0.00074651
2268	FGR	1	27938800	27961727	43	888508	1.4293	0.076453
2537	IFI6	1	27992572	27998724	10	900106	0.15046	0.4402
199870	FAM76A	1	28052490	28089426	71	929771	-0.69953	0.75789
23673	STX12	1	28099694	28150963	52	920583	0.98926	0.16127
5511	PPP1R8	1	28157252	28178183	27	892792	0.78842	0.21522
9473	THEMIS2	1	28199055	28213196	53	921985	1.2265	0.11001
6118	RPA2	1	28218035	28241255	65	940873	1.3862	0.082836
27293	SMPDL3B	1	28261456	28285663	83	955604	2.0816	0.018689
55113	XKR8	1	28286504	28294604	23	925488	1.6917	0.04535
2140	EYA3	1	28296855	28415173	305	946964	2.5857	0.0048591
5724	PTAFR	1	28473677	28520447	61	931818	5.6316	8.9278e-09
22826	DNAJC8	1	28526789	28559542	97	960675	6.0563	6.9657e-10
93974	ATP5IF1	1	28562602	28564616	7	954079	6.2856	1.6328e-10
83667	SESN2	1	28585963	28609002	61	931136	3.8278	6.4648e-05
54797	MED18	1	28655513	28662478	7	890735	0.07318	0.47083
65979	PHACTR4	1	28696093	28826881	396	943811	1.7756	0.0379
1104	RCC1	1	28832455	28865708	78	925690	1.6865	0.045849
54952	TRNAU1AP	1	28879529	28905057	48	935607	2.3975	0.0082539
115273	RAB42	1	28918712	28921098	6	878423	1.2334	0.10871
6883	TAF12	1	28929608	28975416	68	921366	2.3483	0.0094301
10691	GMEB1	1	28995234	29042115	78	936596	0.50573	0.30652
51441	YTHDF2	1	29063133	29096287	64	937957	1.0575	0.14515
4985	OPRD1	1	29138654	29190208	177	955386	1.7677	0.038555
2035	EPB41	1	29213603	29446558	487	958646	1.6064	0.054093
399474	TMEM200B	1	29445937	29450421	12	966442	0.93478	0.17495
6429	SRSF4	1	29474250	29508637	72	963919	2.9376	0.001654
51102	MECR	1	29519385	29557460	104	963047	2.6342	0.0042174
10076	PTPRU	1	29563028	29653325	258	951497	1.6798	0.046497
4146	MATN1	1	31184124	31196432	36	956141	-0.23921	0.59453
7805	LAPTM5	1	31205315	31230683	62	931948	0.21864	0.41347
9672	SDC3	1	31342313	31381480	98	918749	1.4862	0.068616
9698	PUM1	1	31404353	31538838	351	939994	1.8471	0.032367
79570	NKAIN1	1	31652592	31712734	239	969015	3.9232	4.3685e-05
9410	SNRNP40	1	31732415	31769644	111	969496	3.1147	0.0009207
51538	ZCCHC17	1	31769832	31838569	172	972049	3.0551	0.0011251
2170	FABP3	1	31838100	31845923	14	922716	3.1023	0.0009602
347735	SERINC2	1	31882412	31907527	75	960839	1.6376	0.05075
64129	TINAGL1	1	32042086	32053290	13	916531	1.2913	0.098307
3061	HCRTR1	1	32083290	32093214	26	972928	1.2438	0.10678
553115	PEF1	1	32095463	32110838	26	975698	1.2935	0.097925
1307	COL16A1	1	32117848	32169768	125	934709	1.296	0.097485
576	ADGRB2	1	32192718	32230494	76	918675	0.67417	0.2501
90853	SPOCD1	1	32256023	32281630	67	921110	0.47977	0.3157
8073	PTP4A2	1	32372022	32403988	45	942986	2.2686	0.011647
10657	KHDRBS1	1	32479295	32526460	37	884803	-0.1111	0.54423
55116	TMEM39B	1	32538503	32568467	47	939768	-0.44988	0.6736
23633	KPNA6	1	32573644	32642169	86	933065	-0.076556	0.53051
200081	TXLNA	1	32645293	32663886	25	927338	-1.0105	0.84386
79140	CCDC28B	1	32666202	32670991	4	924162	0.14003	0.44432
